,hometeam,awayteam,weeknum,date,season,homescore,awayscore
138,PIT,LAR,10,201911100,2019,17,12
139,CLE,BUF,10,201911100,2019,19,16
140,CIN,BAL,10,201911100,2019,13,49
141,IND,MIA,10,201911100,2019,12,16
142,TEN,KAN,10,201911100,2019,35,32
143,GNB,CAR,10,201911100,2019,24,16
144,CHI,DET,10,201911100,2019,20,13
145,NOR,ATL,10,201911100,2019,9,26
146,TAM,ARI,10,201911100,2019,30,27
147,SFO,SEA,10,201911110,2019,24,27
148,CLE,PIT,11,201911140,2019,21,7
149,MIA,BUF,11,201911170,2019,20,37
150,WAS,NYJ,11,201911170,2019,17,34
151,PHI,NWE,11,201911170,2019,10,17
152,BAL,HOU,11,201911170,2019,41,7
153,IND,JAX,11,201911170,2019,33,13
154,MIN,DEN,11,201911170,2019,27,23
155,DET,DAL,11,201911170,2019,27,35
156,TAM,NOR,11,201911170,2019,17,34
157,CAR,ATL,11,201911170,2019,3,29
158,OAK,CIN,11,201911170,2019,17,10
159,LAR,CHI,11,201911170,2019,17,7
160,SFO,ARI,11,201911170,2019,36,26
161,LAC,KAN,11,201911180,2019,17,24
162,HOU,IND,12,201911210,2019,20,17
163,BUF,DEN,12,201911240,2019,20,3
164,NWE,DAL,12,201911240,2019,13,9
165,NYJ,OAK,12,201911240,2019,34,3
166,WAS,DET,12,201911240,2019,19,16
167,PHI,SEA,12,201911240,2019,9,17
168,CLE,MIA,12,201911240,2019,41,24
169,CIN,PIT,12,201911240,2019,10,16
170,TEN,JAX,12,201911240,2019,42,20
171,CHI,NYG,12,201911240,2019,19,14
172,NOR,CAR,12,201911240,2019,34,31
173,ATL,TAM,12,201911240,2019,22,35
174,SFO,GNB,12,201911240,2019,37,8
175,LAR,BAL,12,201911250,2019,6,45
176,DAL,BUF,13,201911280,2019,15,26
177,DET,CHI,13,201911280,2019,20,24
178,ATL,NOR,13,201911280,2019,18,26
179,MIA,PHI,13,201912010,2019,37,31
180,NYG,GNB,13,201912010,2019,13,31
181,PIT,CLE,13,201912010,2019,20,13
182,BAL,SFO,13,201912010,2019,20,17
183,CIN,NYJ,13,201912010,2019,22,6
184,IND,TEN,13,201912010,2019,17,31
185,HOU,NWE,13,201912010,2019,28,22
186,JAX,TAM,13,201912010,2019,11,28
187,CAR,WAS,13,201912010,2019,21,29
188,KAN,OAK,13,201912010,2019,40,9
189,DEN,LAC,13,201912010,2019,23,20
190,ARI,LAR,13,201912010,2019,7,34
191,SEA,MIN,13,201912020,2019,37,30
192,CHI,DAL,14,201912050,2019,31,24
193,BUF,BAL,14,201912080,2019,17,24
194,NWE,KAN,14,201912080,2019,16,23
195,NYJ,MIA,14,201912080,2019,22,21
196,CLE,CIN,14,201912080,2019,27,19
197,HOU,DEN,14,201912080,2019,24,38
198,JAX,LAC,14,201912080,2019,10,45
199,GNB,WAS,14,201912080,2019,20,15
200,MIN,DET,14,201912080,2019,20,7
201,NOR,SFO,14,201912080,2019,46,48
202,TAM,IND,14,201912080,2019,38,35
203,ATL,CAR,14,201912080,2019,40,20
204,OAK,TEN,14,201912080,2019,21,42
205,LAR,SEA,14,201912080,2019,28,12
206,ARI,PIT,14,201912080,2019,17,23
207,PHI,NYG,14,201912090,2019,23,17
208,BAL,NYJ,15,201912120,2019,42,21
209,WAS,PHI,15,201912150,2019,27,37
210,NYG,MIA,15,201912150,2019,36,20
211,DAL,LAR,15,201912150,2019,44,21
212,PIT,BUF,15,201912150,2019,10,17
213,CIN,NWE,15,201912150,2019,13,34
214,TEN,HOU,15,201912150,2019,21,24
215,GNB,CHI,15,201912150,2019,21,13
216,DET,TAM,15,201912150,2019,17,38
217,CAR,SEA,15,201912150,2019,24,30
218,KAN,DEN,15,201912150,2019,23,3
219,OAK,JAX,15,201912150,2019,16,20
220,LAC,MIN,15,201912150,2019,10,39
221,ARI,CLE,15,201912150,2019,38,24
222,SFO,ATL,15,201912150,2019,22,29
223,NOR,IND,15,201912160,2019,34,7
224,NWE,BUF,16,201912210,2019,24,17
225,TAM,HOU,16,201912210,2019,20,23
226,SFO,LAR,16,201912210,2019,34,31
227,MIA,CIN,16,201912220,2019,38,35
228,NYJ,PIT,16,201912220,2019,16,10
229,WAS,NYG,16,201912220,2019,35,41
230,PHI,DAL,16,201912220,2019,17,9
231,CLE,BAL,16,201912220,2019,15,31
232,IND,CAR,16,201912220,2019,38,6
233,TEN,NOR,16,201912220,2019,28,38
234,CHI,KAN,16,201912220,2019,3,26
235,ATL,JAX,16,201912220,2019,24,12
236,LAC,OAK,16,201912220,2019,17,24
237,DEN,DET,16,201912220,2019,27,17
238,SEA,ARI,16,201912220,2019,13,27
239,MIN,GNB,16,201912230,2019,10,23
240,BUF,NYJ,17,201912290,2019,6,13
241,NWE,MIA,17,201912290,2019,24,27
242,NYG,PHI,17,201912290,2019,17,34
243,DAL,WAS,17,201912290,2019,47,16
244,BAL,PIT,17,201912290,2019,28,10
245,CIN,CLE,17,201912290,2019,33,23
246,HOU,TEN,17,201912290,2019,14,35
247,JAX,IND,17,201912290,2019,38,20
248,MIN,CHI,17,201912290,2019,19,21
249,DET,GNB,17,201912290,2019,20,23
250,TAM,ATL,17,201912290,2019,22,28
251,CAR,NOR,17,201912290,2019,10,42
252,KAN,LAC,17,201912290,2019,31,21
253,DEN,OAK,17,201912290,2019,16,15
254,SEA,SFO,17,201912290,2019,21,26
255,LAR,ARI,17,201912290,2019,31,24
