,Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL,gameid
62,409,DEN,0,0,0,0,0,0,0,0,,11,101,1,70,3,3,17,0,13,0,0,3
63,800,DEN,0,0,0,0,0,0,0,0,,14,45,0,12,1,1,-4,0,-4,0,0,3
64,801,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,72,0,20,0,0,3
65,225,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,62,0,25,0,0,3
66,802,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,41,0,22,0,0,3
67,224,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,39,1,16,0,0,3
68,803,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,16,1,6,1,1,3
69,227,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,14,0,14,0,0,3
70,501,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,7,0,7,0,0,3
71,542,NYG,22,37,267,1,0,2,13,42,90.7,6,27,1,8,0,0,0,0,0,1,1,3
72,549,NYG,0,0,0,0,0,0,0,0,,10,26,0,5,3,1,1,0,1,0,0,3
73,221,NYG,0,0,0,0,0,0,0,0,,4,7,0,6,1,1,6,0,6,0,0,3
74,540,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,113,1,37,0,0,3
75,548,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,65,0,42,0,0,3
76,261,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,64,0,17,0,0,3
77,459,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,8,0,6,0,0,3
78,804,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0,3
79,355,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0,3
80,541,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,3
81,805,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,-2,0,4,0,0,3
82,458,MIN,36,49,351,2,0,3,26,34,106.8,0,0,0,0,0,0,0,0,0,0,0,4
83,806,MIN,1,1,11,0,0,0,0,11,112.5,0,0,0,0,9,5,71,0,34,0,0,4
84,473,MIN,0,0,0,0,0,0,0,0,,20,61,1,17,7,6,43,0,9,1,1,4
85,471,MIN,0,0,0,0,0,0,0,0,,1,4,0,4,2,2,15,0,10,0,0,4
86,477,MIN,0,0,0,0,0,0,0,0,,1,2,0,2,1,1,4,0,4,0,0,4
87,465,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,10,9,92,2,24,0,0,4
88,807,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,76,0,25,0,0,4
89,461,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,41,0,27,0,0,4
90,351,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,0,11,0,0,4
91,462,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,9,0,6,0,0,4
92,576,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,4
93,808,CIN,20,27,261,2,0,5,44,50,128.8,1,2,0,2,0,0,0,0,0,0,0,4
94,146,CIN,0,0,0,0,0,0,0,0,,29,127,1,19,4,4,23,0,12,0,0,4
95,767,CIN,0,0,0,0,0,0,0,0,,5,22,0,13,1,1,7,0,7,0,0,4
96,809,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,58,1,28,0,0,4
97,140,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,35,0,32,0,0,4
98,163,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,32,0,18,0,0,4
99,418,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,5,0,5,0,0,4
100,810,CIN,0,0,0,0,0,0,0,0,,1,-2,0,-2,7,5,101,1,50,0,0,4
101,658,SEA,18,23,254,4,0,3,13,69,152.3,5,9,0,11,0,0,0,0,0,0,0,5
102,680,SEA,0,0,0,0,0,0,0,0,,16,91,0,33,3,3,26,0,16,1,1,5
103,811,SEA,0,0,0,0,0,0,0,0,,2,22,0,13,1,1,6,0,6,0,0,5
104,671,SEA,0,0,0,0,0,0,0,0,,2,8,0,4,0,0,0,0,0,0,0,5
105,812,SEA,0,0,0,0,0,0,0,0,,1,5,0,5,1,1,5,0,5,0,0,5
106,813,SEA,0,0,0,0,0,0,0,0,,1,5,0,5,1,0,0,0,0,0,0,5
107,663,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,100,2,69,0,0,5
108,668,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,60,1,30,0,0,5
109,667,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,37,0,22,0,0,5
110,432,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,20,1,11,0,0,5
111,610,IND,25,38,251,2,0,3,28,24,102.0,4,23,0,8,0,0,0,0,0,1,1,5
112,814,IND,0,0,0,0,0,0,0,0,,17,56,0,12,7,6,60,0,15,0,0,5
113,321,IND,0,0,0,0,0,0,0,0,,9,34,0,8,8,6,48,0,19,0,0,5
114,340,IND,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,43,2,16,0,0,5
115,815,IND,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,29,0,14,0,0,5
116,816,IND,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,26,0,16,0,0,5
117,328,IND,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,24,0,24,0,0,5
118,320,IND,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,21,0,9,0,0,5
119,332,IND,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,5
120,6,ARI,21,32,289,4,1,2,9,38,121.0,5,20,1,8,0,0,0,0,0,0,0,6
121,20,ARI,0,0,0,0,0,0,0,0,,12,63,0,16,4,4,43,0,36,0,0,6
122,653,ARI,0,0,0,0,0,0,0,0,,16,53,0,8,0,0,0,0,0,0,0,6
123,309,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,83,2,38,0,0,6
124,5,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,70,2,26,0,0,6
125,817,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,68,0,29,0,0,6
126,156,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,25,0,21,0,0,6
127,3,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,6
128,165,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,6
129,738,TEN,21,35,212,1,1,6,56,39,74.9,2,17,1,16,0,0,0,0,0,2,2,6
130,818,TEN,1,1,6,0,0,0,0,6,91.7,0,0,0,0,0,0,0,0,0,0,0,6
131,741,TEN,0,0,0,0,0,0,0,0,,17,58,0,19,4,3,19,0,8,0,0,6
132,731,TEN,0,0,0,0,0,0,0,0,,2,9,0,8,4,3,24,0,9,0,0,6
133,819,TEN,0,0,0,0,0,0,0,0,,1,2,0,2,0,0,0,0,0,0,0,6
134,314,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,62,0,39,0,0,6
135,732,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,49,1,19,0,0,6
136,44,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,29,0,10,0,0,6
137,729,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,19,0,11,0,0,6
138,820,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,10,0,10,0,0,6
139,821,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0,6
140,360,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,6
141,822,JAX,28,51,332,3,3,1,13,41,70.1,1,-2,0,-2,0,0,0,0,0,0,0,7
142,369,JAX,0,0,0,0,0,0,0,0,,9,44,0,13,2,2,14,0,9,0,0,7
143,823,JAX,0,0,0,0,0,0,0,0,,5,25,0,7,6,3,29,0,15,1,0,7
144,824,JAX,0,0,0,0,0,0,0,0,,1,9,0,9,10,7,50,0,14,0,0,7
145,362,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,12,3,86,1,41,0,0,7
146,260,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,77,1,33,0,0,7
147,350,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,48,0,22,0,0,7
148,112,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,22,1,22,0,0,7
149,257,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0,7
150,212,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,7
151,401,HOU,21,33,291,2,0,1,2,52,112.1,4,40,0,29,0,0,0,0,0,1,0,7
152,48,HOU,0,0,0,0,0,0,0,0,,26,85,1,11,1,0,0,0,0,0,0,7
153,234,HOU,0,0,0,0,0,0,0,0,,8,25,1,8,1,0,0,0,0,0,0,7
154,22,HOU,0,0,0,0,0,0,0,0,,3,10,0,5,4,3,18,1,9,0,0,7
155,416,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,132,0,52,0,0,7
156,179,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,67,0,29,0,0,7
157,251,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,34,1,8,0,0,7
158,344,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,27,0,17,0,0,7
159,825,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,7,0,7,0,0,7
160,504,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,6,0,6,0,0,7
161,294,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,7
162,689,SFO,17,25,314,1,0,1,8,79,124.2,3,2,0,3,0,0,0,0,0,1,1,8
163,826,SFO,1,1,5,1,0,0,0,5,127.1,3,2,0,2,0,0,0,0,0,0,0,8
164,827,SFO,0,0,0,0,0,0,0,0,,19,104,1,38,0,0,0,0,0,0,0,8
165,686,SFO,0,0,0,0,0,0,0,0,,2,20,0,11,0,0,0,0,0,0,0,8
