,Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL,gameid
62,782,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,22,0,22,0,0,2
63,484,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,3,0,3,0,0,2
64,84,BUF,24,37,254,1,2,1,12,38,71.2,10,38,1,8,0,0,0,0,0,2,2,3
65,68,BUF,0,0,0,0,0,0,0,0,,4,70,0,23,6,5,28,0,12,0,0,3
66,74,BUF,0,0,0,0,0,0,0,0,,11,20,0,9,0,0,0,0,0,0,0,3
67,69,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,10,7,123,1,38,0,0,3
68,85,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,40,0,10,0,0,3
69,78,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,35,0,29,0,0,3
70,90,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,18,0,20,0,0,3
71,81,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,9,0,5,0,0,3
72,82,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,1,0,1,0,0,3
73,579,NYJ,28,41,175,1,0,4,20,19,84.9,1,0,0,0,0,0,0,0,0,1,0,3
74,568,NYJ,0,0,0,0,0,0,0,0,,17,60,0,12,9,6,32,1,11,0,0,3
75,574,NYJ,0,0,0,0,0,0,0,0,,1,4,0,4,17,14,99,0,19,0,0,3
76,783,NYJ,0,0,0,0,0,0,0,0,,2,4,0,2,0,0,0,0,0,0,0,3
77,573,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,23,0,9,0,0,3
78,564,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,15,0,15,0,0,3
79,709,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,10,0,11,0,0,3
80,570,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,-4,0,8,1,1,3
81,537,NYG,30,44,306,1,0,1,4,43,95.5,1,6,0,6,0,0,0,0,0,1,1,4
82,542,NYG,3,4,17,0,0,0,0,6,82.3,1,5,0,5,0,0,0,0,0,1,1,4
83,549,NYG,0,0,0,0,0,0,0,0,,11,120,0,59,6,4,19,0,9,1,0,4
84,551,NYG,0,0,0,0,0,0,0,0,,2,17,1,15,3,3,24,0,13,0,0,4
85,541,NYG,0,0,0,0,0,0,0,0,,2,3,0,2,0,0,0,0,0,0,0,4
86,553,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,14,11,116,1,22,0,0,4
87,536,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,74,0,43,0,0,4
88,540,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,42,0,11,0,0,4
89,552,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,40,0,17,0,0,4
90,544,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,8,0,8,0,0,4
91,186,DAL,25,32,405,4,0,0,0,62,158.3,4,12,0,8,0,0,0,0,0,0,0,4
92,202,DAL,0,0,0,0,0,0,0,0,,13,53,1,10,2,1,10,0,10,0,0,4
93,196,DAL,0,0,0,0,0,0,0,0,,13,24,0,6,0,0,0,0,0,0,0,4
94,210,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,7,7,158,0,62,0,0,4
95,190,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,106,1,45,0,0,4
96,197,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,69,1,25,0,0,4
97,206,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,39,1,28,0,0,4
98,192,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,15,1,6,0,0,4
99,201,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0,4
100,203,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,4
101,775,WAS,30,44,380,3,0,1,10,69,117.6,0,0,0,0,0,0,0,0,0,0,0,5
102,776,WAS,0,0,0,0,0,0,0,0,,10,18,0,5,3,3,20,0,8,0,0,5
103,751,WAS,0,0,0,0,0,0,0,0,,3,10,0,7,10,7,68,0,18,0,0,5
104,758,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,125,1,69,0,0,5
105,760,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,59,1,48,0,0,5
106,762,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,36,0,17,0,0,5
107,761,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,33,1,14,0,0,5
108,766,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,31,0,21,0,0,5
